Dataset,group1,group2,meandiff,p-adj,lower,upper,reject
C.elegans,A-CLA,CPM,-6.0,0.0,-6.454,-5.546,True
C.elegans,A-CLA,DEMON,-0.5,0.0218,-0.954,-0.046,True
C.elegans,A-CLA,GN,-5.0,0.0,-5.454,-4.546,True
C.elegans,A-CLA,Leiden,-0.7,0.0003,-1.154,-0.246,True
C.elegans,A-CLA,Louvain,-0.6,0.0028,-1.054,-0.146,True
C.elegans,A-CLA,SLPA,-6.0,0.0,-6.454,-5.546,True
C.elegans,CPM,DEMON,5.5,0.0,5.046,5.954,True
C.elegans,CPM,GN,1.0,0.0,0.546,1.454,True
C.elegans,CPM,Leiden,5.3,0.0,4.846,5.754,True
C.elegans,CPM,Louvain,5.4,0.0,4.946,5.854,True
C.elegans,CPM,SLPA,0.0,1.0,-0.454,0.454,False
C.elegans,DEMON,GN,-4.5,0.0,-4.954,-4.046,True
C.elegans,DEMON,Leiden,-0.2,0.8296,-0.654,0.254,False
C.elegans,DEMON,Louvain,-0.1,0.9937,-0.554,0.354,False
C.elegans,DEMON,SLPA,-5.5,0.0,-5.954,-5.046,True
C.elegans,GN,Leiden,4.3,0.0,3.846,4.754,True
C.elegans,GN,Louvain,4.4,0.0,3.946,4.854,True
C.elegans,GN,SLPA,-1.0,0.0,-1.454,-0.546,True
C.elegans,Leiden,Louvain,0.1,0.9937,-0.354,0.554,False
C.elegans,Leiden,SLPA,-5.3,0.0,-5.754,-4.846,True
C.elegans,Louvain,SLPA,-5.4,0.0,-5.854,-4.946,True
Disesome,A-CLA,CPM,212.0,0.0,208.5215,215.4785,True
Disesome,A-CLA,DEMON,41.4,0.0,37.9215,44.8785,True
Disesome,A-CLA,GN,-5.0,0.0009,-8.4785,-1.5215,True
Disesome,A-CLA,Leiden,14.0,0.0,10.5215,17.4785,True
Disesome,A-CLA,Louvain,17.9,0.0,14.4215,21.3785,True
Disesome,A-CLA,SLPA,30.2,0.0,26.7215,33.6785,True
Disesome,CPM,DEMON,-170.6,0.0,-174.0785,-167.1215,True
Disesome,CPM,GN,-217.0,0.0,-220.4785,-213.5215,True
Disesome,CPM,Leiden,-198.0,0.0,-201.4785,-194.5215,True
Disesome,CPM,Louvain,-194.1,0.0,-197.5785,-190.6215,True
Disesome,CPM,SLPA,-181.8,0.0,-185.2785,-178.3215,True
Disesome,DEMON,GN,-46.4,0.0,-49.8785,-42.9215,True
Disesome,DEMON,Leiden,-27.4,0.0,-30.8785,-23.9215,True
Disesome,DEMON,Louvain,-23.5,0.0,-26.9785,-20.0215,True
Disesome,DEMON,SLPA,-11.2,0.0,-14.6785,-7.7215,True
Disesome,GN,Leiden,19.0,0.0,15.5215,22.4785,True
Disesome,GN,Louvain,22.9,0.0,19.4215,26.3785,True
Disesome,GN,SLPA,35.2,0.0,31.7215,38.6785,True
Disesome,Leiden,Louvain,3.9,0.0183,0.4215,7.3785,True
Disesome,Leiden,SLPA,16.2,0.0,12.7215,19.6785,True
Disesome,Louvain,SLPA,12.3,0.0,8.8215,15.7785,True
dolphin,A-CLA,CPM,2.0,0.0,1.0009,2.9991,True
dolphin,A-CLA,DEMON,0.9,0.1044,-0.0991,1.8991,False
dolphin,A-CLA,GN,1.0,0.0497,0.0009,1.9991,True
dolphin,A-CLA,Leiden,0.2,0.9963,-0.7991,1.1991,False
dolphin,A-CLA,Louvain,1.9,0.0,0.9009,2.8991,True
dolphin,A-CLA,SLPA,1.5,0.0004,0.5009,2.4991,True
dolphin,CPM,DEMON,-1.1,0.0218,-2.0991,-0.1009,True
dolphin,CPM,GN,-1.0,0.0497,-1.9991,-0.0009,True
dolphin,CPM,Leiden,-1.8,0.0,-2.7991,-0.8009,True
dolphin,CPM,Louvain,-0.1,0.9999,-1.0991,0.8991,False
dolphin,CPM,SLPA,-0.5,0.7294,-1.4991,0.4991,False
dolphin,DEMON,GN,0.1,0.9999,-0.8991,1.0991,False
dolphin,DEMON,Leiden,-0.7,0.3462,-1.6991,0.2991,False
dolphin,DEMON,Louvain,1.0,0.0497,0.0009,1.9991,True
dolphin,DEMON,SLPA,0.6,0.5341,-0.3991,1.5991,False
dolphin,GN,Leiden,-0.8,0.2002,-1.7991,0.1991,False
dolphin,GN,Louvain,0.9,0.1044,-0.0991,1.8991,False
dolphin,GN,SLPA,0.5,0.7294,-0.4991,1.4991,False
dolphin,Leiden,Louvain,1.7,0.0,0.7009,2.6991,True
dolphin,Leiden,SLPA,1.3,0.0035,0.3009,2.2991,True
dolphin,Louvain,SLPA,-0.4,0.884,-1.3991,0.5991,False
karate,A-CLA,CPM,0.0,1.0,-0.6712,0.6712,False
karate,A-CLA,DEMON,0.0,1.0,-0.6712,0.6712,False
karate,A-CLA,GN,1.0,0.0005,0.3288,1.6712,True
karate,A-CLA,Leiden,1.6,0.0,0.9288,2.2712,True
karate,A-CLA,Louvain,1.0,0.0005,0.3288,1.6712,True
karate,A-CLA,SLPA,-0.1,0.9993,-0.7712,0.5712,False
karate,CPM,DEMON,0.0,1.0,-0.6712,0.6712,False
karate,CPM,GN,1.0,0.0005,0.3288,1.6712,True
karate,CPM,Leiden,1.6,0.0,0.9288,2.2712,True
karate,CPM,Louvain,1.0,0.0005,0.3288,1.6712,True
karate,CPM,SLPA,-0.1,0.9993,-0.7712,0.5712,False
karate,DEMON,GN,1.0,0.0005,0.3288,1.6712,True
karate,DEMON,Leiden,1.6,0.0,0.9288,2.2712,True
karate,DEMON,Louvain,1.0,0.0005,0.3288,1.6712,True
karate,DEMON,SLPA,-0.1,0.9993,-0.7712,0.5712,False
karate,GN,Leiden,0.6,0.1095,-0.0712,1.2712,False
karate,GN,Louvain,0.0,1.0,-0.6712,0.6712,False
karate,GN,SLPA,-1.1,0.0001,-1.7712,-0.4288,True
karate,Leiden,Louvain,-0.6,0.1095,-1.2712,0.0712,False
karate,Leiden,SLPA,-1.7,0.0,-2.3712,-1.0288,True
karate,Louvain,SLPA,-1.1,0.0001,-1.7712,-0.4288,True
lesmisreable,A-CLA,CPM,2.0,0.0,1.5301,2.4699,True
lesmisreable,A-CLA,DEMON,1.0,0.0,0.5301,1.4699,True
lesmisreable,A-CLA,GN,2.0,0.0,1.5301,2.4699,True
lesmisreable,A-CLA,Leiden,3.5,0.0,3.0301,3.9699,True
lesmisreable,A-CLA,Louvain,3.5,0.0,3.0301,3.9699,True
lesmisreable,A-CLA,SLPA,0.5,0.0298,0.0301,0.9699,True
lesmisreable,CPM,DEMON,-1.0,0.0,-1.4699,-0.5301,True
lesmisreable,CPM,GN,0.0,1.0,-0.4699,0.4699,False
lesmisreable,CPM,Leiden,1.5,0.0,1.0301,1.9699,True
lesmisreable,CPM,Louvain,1.5,0.0,1.0301,1.9699,True
lesmisreable,CPM,SLPA,-1.5,0.0,-1.9699,-1.0301,True
lesmisreable,DEMON,GN,1.0,0.0,0.5301,1.4699,True
lesmisreable,DEMON,Leiden,2.5,0.0,2.0301,2.9699,True
lesmisreable,DEMON,Louvain,2.5,0.0,2.0301,2.9699,True
lesmisreable,DEMON,SLPA,-0.5,0.0298,-0.9699,-0.0301,True
lesmisreable,GN,Leiden,1.5,0.0,1.0301,1.9699,True
lesmisreable,GN,Louvain,1.5,0.0,1.0301,1.9699,True
lesmisreable,GN,SLPA,-1.5,0.0,-1.9699,-1.0301,True
lesmisreable,Leiden,Louvain,0.0,1.0,-0.4699,0.4699,False
lesmisreable,Leiden,SLPA,-3.0,0.0,-3.4699,-2.5301,True
lesmisreable,Louvain,SLPA,-3.0,0.0,-3.4699,-2.5301,True
netscience,A-CLA,CPM,106.0,0.0,104.0247,107.9753,True
netscience,A-CLA,DEMON,28.4,0.0,26.4247,30.3753,True
netscience,A-CLA,GN,7.0,0.0,5.0247,8.9753,True
netscience,A-CLA,Leiden,-9.0,0.0,-10.9753,-7.0247,True
netscience,A-CLA,Louvain,11.5,0.0,9.5247,13.4753,True
