Dataset,Overlaps,Run,Method
dolphin,4,1,SLPA
C.elegans,0,1,SLPA
Disesome,42,1,SLPA
karate,2,1,SLPA
lesmisreable,2,1,SLPA
netscience,34,1,SLPA
yeast,92,1,SLPA
dolphin,4,2,SLPA
C.elegans,0,2,SLPA
Disesome,49,2,SLPA
karate,2,2,SLPA
lesmisreable,2,2,SLPA
netscience,26,2,SLPA
yeast,80,2,SLPA
dolphin,6,3,SLPA
C.elegans,0,3,SLPA
Disesome,39,3,SLPA
karate,2,3,SLPA
lesmisreable,3,3,SLPA
netscience,32,3,SLPA
yeast,109,3,SLPA
dolphin,3,4,SLPA
C.elegans,0,4,SLPA
Disesome,44,4,SLPA
karate,0,4,SLPA
lesmisreable,3,4,SLPA
netscience,34,4,SLPA
yeast,89,4,SLPA
dolphin,3,5,SLPA
C.elegans,0,5,SLPA
Disesome,39,5,SLPA
karate,0,5,SLPA
lesmisreable,3,5,SLPA
netscience,34,5,SLPA
yeast,94,5,SLPA
dolphin,3,6,SLPA
C.elegans,0,6,SLPA
Disesome,36,6,SLPA
karate,3,6,SLPA
lesmisreable,3,6,SLPA
netscience,40,6,SLPA
yeast,89,6,SLPA
dolphin,4,7,SLPA
C.elegans,0,7,SLPA
Disesome,48,7,SLPA
karate,2,7,SLPA
lesmisreable,2,7,SLPA
netscience,34,7,SLPA
yeast,100,7,SLPA
dolphin,5,8,SLPA
C.elegans,0,8,SLPA
Disesome,29,8,SLPA
karate,2,8,SLPA
lesmisreable,2,8,SLPA
netscience,31,8,SLPA
yeast,69,8,SLPA
dolphin,8,9,SLPA
C.elegans,0,9,SLPA
Disesome,41,9,SLPA
karate,4,9,SLPA
lesmisreable,3,9,SLPA
netscience,31,9,SLPA
yeast,90,9,SLPA
dolphin,5,10,SLPA
C.elegans,0,10,SLPA
Disesome,45,10,SLPA
karate,2,10,SLPA
lesmisreable,2,10,SLPA
netscience,36,10,SLPA
yeast,90,10,SLPA
dolphin,4,1,DEMON
C.elegans,6,1,DEMON
Disesome,52,1,DEMON
karate,2,1,DEMON
lesmisreable,3,1,DEMON
netscience,40,1,DEMON
yeast,48,1,DEMON
dolphin,3,2,DEMON
C.elegans,5,2,DEMON
Disesome,54,2,DEMON
karate,2,2,DEMON
lesmisreable,3,2,DEMON
netscience,40,2,DEMON
yeast,51,2,DEMON
dolphin,4,3,DEMON
C.elegans,5,3,DEMON
Disesome,49,3,DEMON
karate,2,3,DEMON
lesmisreable,3,3,DEMON
netscience,41,3,DEMON
yeast,41,3,DEMON
dolphin,4,4,DEMON
C.elegans,6,4,DEMON
Disesome,48,4,DEMON
karate,2,4,DEMON
lesmisreable,3,4,DEMON
netscience,41,4,DEMON
yeast,46,4,DEMON
dolphin,4,5,DEMON
C.elegans,5,5,DEMON
Disesome,54,5,DEMON
karate,2,5,DEMON
lesmisreable,3,5,DEMON
netscience,40,5,DEMON
yeast,47,5,DEMON
dolphin,4,6,DEMON
C.elegans,6,6,DEMON
Disesome,52,6,DEMON
karate,2,6,DEMON
lesmisreable,3,6,DEMON
netscience,42,6,DEMON
yeast,42,6,DEMON
dolphin,4,7,DEMON
C.elegans,5,7,DEMON
Disesome,53,7,DEMON
karate,2,7,DEMON
lesmisreable,3,7,DEMON
netscience,41,7,DEMON
yeast,43,7,DEMON
dolphin,4,8,DEMON
C.elegans,5,8,DEMON
Disesome,53,8,DEMON
karate,2,8,DEMON
lesmisreable,3,8,DEMON
netscience,40,8,DEMON
yeast,43,8,DEMON
dolphin,4,9,DEMON
C.elegans,6,9,DEMON
Disesome,55,9,DEMON
karate,2,9,DEMON
lesmisreable,3,9,DEMON
netscience,39,9,DEMON
yeast,48,9,DEMON
dolphin,4,10,DEMON
C.elegans,6,10,DEMON
Disesome,54,10,DEMON
karate,2,10,DEMON
lesmisreable,3,10,DEMON
netscience,40,10,DEMON
yeast,49,10,DEMON
dolphin,5,1,CPM
C.elegans,0,1,CPM
Disesome,223,1,CPM
karate,2,1,CPM
lesmisreable,4,1,CPM
netscience,118,1,CPM
yeast,92,1,CPM
dolphin,5,2,CPM
C.elegans,0,2,CPM
Disesome,223,2,CPM
karate,2,2,CPM
lesmisreable,4,2,CPM
netscience,118,2,CPM
yeast,92,2,CPM
dolphin,5,3,CPM
C.elegans,0,3,CPM
Disesome,223,3,CPM
karate,2,3,CPM
lesmisreable,4,3,CPM
netscience,118,3,CPM
yeast,92,3,CPM
dolphin,5,4,CPM
C.elegans,0,4,CPM
Disesome,223,4,CPM
karate,2,4,CPM
lesmisreable,4,4,CPM
netscience,118,4,CPM
yeast,92,4,CPM
dolphin,5,5,CPM
C.elegans,0,5,CPM
Disesome,223,5,CPM
karate,2,5,CPM
lesmisreable,4,5,CPM
netscience,118,5,CPM
yeast,92,5,CPM
dolphin,5,6,CPM
C.elegans,0,6,CPM
Disesome,223,6,CPM
karate,2,6,CPM
lesmisreable,4,6,CPM
netscience,118,6,CPM
yeast,92,6,CPM
dolphin,5,7,CPM
C.elegans,0,7,CPM
Disesome,223,7,CPM
karate,2,7,CPM
lesmisreable,4,7,CPM
netscience,118,7,CPM
yeast,92,7,CPM
dolphin,5,8,CPM
C.elegans,0,8,CPM
Disesome,223,8,CPM
karate,2,8,CPM
lesmisreable,4,8,CPM
netscience,118,8,CPM
yeast,92,8,CPM
dolphin,5,9,CPM
C.elegans,0,9,CPM
Disesome,223,9,CPM
karate,2,9,CPM
lesmisreable,4,9,CPM
netscience,118,9,CPM
