Dataset,Method,mean,std,runs_per_method
C.elegans,A-CLA,6,0,10
C.elegans,CPM,0,0,10
C.elegans,DEMON,5.5,0.527046277,10
C.elegans,GN,1,0,10
C.elegans,Leiden,5.3,0.483045892,10
C.elegans,Louvain,5.4,0.516397779,10
C.elegans,SLPA,0,0,10
Disesome,A-CLA,11,0,10
Disesome,CPM,223,0,10
Disesome,DEMON,52.4,2.270584849,10
Disesome,GN,6,0,10
Disesome,Leiden,25,1.699673171,10
Disesome,Louvain,28.9,1.595131482,10
Disesome,SLPA,41.2,5.921711464,10
dolphin,A-CLA,3,0,10
dolphin,CPM,5,0,10
dolphin,DEMON,3.9,0.316227766,10
dolphin,GN,4,0,10
dolphin,Leiden,3.2,1.032795559,10
dolphin,Louvain,4.9,0.316227766,10
dolphin,SLPA,4.5,1.58113883,10
karate,A-CLA,2,0,10
karate,CPM,2,0,10
karate,DEMON,2,0,10
karate,GN,3,0,10
karate,Leiden,3.6,0.516397779,10
karate,Louvain,3,0,10
karate,SLPA,1.9,1.197219,10
lesmisreable,A-CLA,2,0,10
lesmisreable,CPM,4,0,10
lesmisreable,DEMON,3,0,10
lesmisreable,GN,4,0,10
lesmisreable,Leiden,5.5,0.527046277,10
lesmisreable,Louvain,5.5,0.527046277,10
lesmisreable,SLPA,2.5,0.527046277,10
netscience,A-CLA,12,0,10
netscience,CPM,118,0,10
netscience,DEMON,40.4,0.843274043,10
netscience,GN,19,0,10
netscience,Leiden,3,0,10
netscience,Louvain,23.5,0.849836586,10
netscience,SLPA,33.2,3.645392831,10
yeast,A-CLA,117,0,10
yeast,CPM,92,0,10
yeast,DEMON,45.8,3.359894178,10
yeast,GN,6,0,10
yeast,Leiden,22.1,1.595131482,10
yeast,Louvain,24.2,1.619327707,10
yeast,SLPA,90.2,10.66458313,10
